Name,City,Code
Sardar Vallabhbhai Patel International Airport,Ahmedabad,AMD
Akola Airport,Akola,AKD
Aurangabad Airport,Aurangabad,IXU
Chhatrapati Shivaji International Airport,Mumbai,BOM
Bilaspur Airport,Bilaspur,PAB
Bhuj Airport,Bhuj,BHJ
Belgaum Airport,Belgaum,IXG
Vadodara Airport,Baroda,BDQ
Raja Bhoj International Airport,Bhopal,BHO
Bhavnagar Airport,Bhaunagar,BHU
Daman Airport,Daman,NMB
Guna Airport,Guna,GUX
Dabolim Airport,Goa,GOI
Devi Ahilyabai Holkar Airport,Indore,IDR
Jabalpur Airport,Jabalpur,JLR
Jamnagar Airport,Jamnagar,JGA
Kandla Airport,Kandla,IXY
Khajuraho Airport,Khajuraho,HJR
Kolhapur Airport,Kolhapur,KLH
Keshod Airport,Keshod,IXK
Dr. Babasaheb Ambedkar International Airport,Nagpur,NAG
Nashik Airport,Nasik Road,ISK
Pune Airport,Pune,PNQ
Porbandar Airport,Porbandar,PBD
Rajkot Airport,Rajkot,RAJ
Raipur Airport,Raipur,RPR
Solapur Airport,Sholapur,SSE
Surat Airport,Surat,STV
Maharana Pratap Airport,Udaipur,UDR
Along Airport,Along,IXV
Agartala Airport,Agartala,IXA
Lengpui Airport,Aizwal,AJL
Bagdogra Airport,Baghdogra,IXB
Biju Patnaik Airport,Bhubaneswar,BBI
Netaji Subhash Chandra Bose International Airport,Kolkata,CCU
Cooch Behar Airport,Cooch-behar,COH
Dhanbad Airport,Dhanbad,DBD
Gaya Airport,Gaya,GAY
Imphal Airport,Imphal,IMF
Sonari Airport,Jamshedpur,IXW
Jorhat Airport,Jorhat,JRH
Kailashahar Airport,Kailashahar,IXH
Silchar Airport,Silchar,IXS
North Lakhimpur Airport,Lilabari,IXI
Dibrugarh Airport,Mohanbari,DIB
Muzaffarpur Airport,Mazuffarpur,MZU
Lok Nayak Jayaprakash Airport,Patina,PAT
Birsa Munda Airport,Ranchi,IXR
Rourkela Airport,Rourkela,RRK
Vishakhapatnam Airport,Vishakhapatnam,VTZ
Ziro Airport,Zero,ZER
Agra Airport,Agra,AGR
Allahabad Airport,Allahabad,IXD
Sri Guru Ram Dass Jee International Airport,Amritsar,ATQ
Nal Airport,Bikaner,BKB
Lal Bahadur Shastri Airport,Varanasi,VNS
Kullu Manali Airport,Kulu,KUU
Bhatinda Air Force Station,Bhatinda,BUP
Bareilly Air Force Station,Bareilly,BEK
Chandigarh Airport,Chandigarh,IXC
Kanpur Airport,Kanpur,KNU
Dehradun Airport,Dehra Dun,DED
Indira Gandhi International Airport,Delhi,DEL
Gwalior Airport,Gwalior,GWL
Hissar Airport,Hissar,HSS
Jodhpur Airport,Jodhpur,JDH
Jaipur International Airport,Jaipur,JAI
Jaisalmer Airport,Jaisalmer,JSA
Jammu Airport,Jammu,IXJ
Kota Airport,Kota,KTU
Ludhiana Airport,Ludhiaha,LUH
Leh Kushok Bakula Rimpochee Airport,Leh,IXL
Chaudhary Charan Singh International Airport,Lucknow,LKO
Pathankot Airport,Pathankot,IXP
Pantnagar Airport,Nainital,PGH
Sheikh ul Alam Airport,Srinagar,SXR
Satna Airport,Satna,TNI
Agatti Airport,Agatti Island,AGX
Kempegowda International Airport,Bangalore,BLR
Bellary Airport,Bellary,BEP
Vijayawada Airport,Vijayawada,VGA
Coimbatore International Airport,Coimbatore,CJB
Cochin International Airport,Kochi,COK
Calicut International Airport,Calicut,CCJ
Kadapa Airport,Cuddapah,CDP
Car Nicobar Air Force Station,Carnicobar,CBD
Begumpet Airport,Hyderabad,BPM
Madurai Airport,Madurai,IXM
Mangalore International Airport,Mangalore,IXE
Chennai International Airport,Madras,MAA
Vir Savarkar International Airport,Port Blair,IXZ
Pondicherry Airport,Pendicherry,PNY
Rajahmundry Airport,Rajahmundry,RJA
Salem Airport,Salem,SXV
Tanjore Air Force Base,Tanjore,TJV
Tirupati Airport,Tirupeti,TIR
Tiruchirapally Civil Airport Airport,Tiruchirappalli,TRZ
Trivandrum International Airport,Trivandrum,TRV
Diu Airport,Diu,DIU
Hubli Airport,Hubli,HBX
Shillong Airport,Shillong,SHL
Lokpriya Gopinath Bordoloi International Airport,Guwahati,GAU
Dimapur Airport,Dimapur,DMU
Tezpur Airport,Tezpur,TEZ
Gorakhpur Airport,Gorakhpur,GOP
Kangra Airport,Kangra,DHM
Nanded Airport,Nanded,NDC
Shimla Airport,Shimla,SLV
Mysore Airport,Mysore,MYQ
Pasighat Airport,Pasighat,IXT
Ratnagiri Airport,Ratnagiri,RTC
Sri Sathya Sai Airport,Puttaparthi,PUT
Rajiv Gandhi International Airport,Hyderabad,HYD
Tezu Airport,Tezu,TEI
Adampur Airport,Adampur,AIP
Vijayanagar Aerodrome (JSW),Toranagallu,VDY
Shirdi Airport,Shirdi,SAG
Jeypore Airport,Jeypore,PYB
Kishangarh Airport,Ajmer,KQH
Kannur International Airport,Kannur,CNN
